index,Customer ID,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_Segment,Segment
0,12346.0,165,11,372.86,2,5,2,25,At Risk
1,12347.0,3,2,1323.32,5,2,4,52,Potential Loyal Customers
2,12348.0,74,1,222.16,2,1,1,21,Need Attention
3,12349.0,43,3,2671.14,3,3,5,33,Need Attention
4,12351.0,11,1,300.93,5,1,2,51,New Customers
5,12352.0,11,2,343.8,5,2,2,52,Potential Loyal Customers
6,12353.0,44,1,317.76,3,1,2,31,Need Attention
7,12355.0,203,1,488.21000000000004,1,1,2,11,Inactive
8,12356.0,16,3,3562.25,4,3,5,43,Potential Loyal Customers
9,12357.0,24,2,12079.99,4,2,5,42,Potential Loyal Customers
10,12358.0,11,3,2719.01,5,3,5,53,Potential Loyal Customers
11,12359.0,61,6,2563.36,3,4,5,34,Loyal Customers
12,12360.0,15,5,1590.83,5,4,4,54,Most Valuable Customers
13,12361.0,98,3,321.35,2,3,2,23,Need Attention
14,12362.0,374,1,130.0,1,1,1,11,Inactive
15,12366.0,269,1,500.24,1,1,2,11,Inactive
16,12368.0,264,1,917.6999999999999,1,1,3,11,Inactive
17,12369.0,49,3,1791.15,3,3,4,33,Need Attention
18,12370.0,260,3,774.62,1,3,3,13,At Risk
19,12371.0,45,3,2179.42,3,3,5,33,Need Attention
20,12373.0,260,2,763.0500000000001,1,2,3,12,Inactive
21,12374.0,57,3,2246.29,3,3,5,33,Need Attention
22,12376.0,25,2,503.15,4,2,2,42,Potential Loyal Customers
23,12377.0,17,2,1798.2,4,2,4,42,Potential Loyal Customers
24,12378.0,198,1,1407.7,1,1,4,11,Inactive
25,12379.0,58,2,767.98,3,2,3,32,Need Attention
26,12380.0,101,7,6951.49,2,5,5,25,At Risk
27,12385.0,15,1,1938.4,5,1,4,51,New Customers
28,12386.0,2,1,258.9,5,1,2,51,New Customers
29,12387.0,51,1,143.94,3,1,1,31,Need Attention
30,12388.0,81,2,1120.45,2,2,4,22,Need Attention
31,12389.0,38,3,1433.33,3,3,4,33,Need Attention
32,12391.0,100,5,2312.53,2,4,5,24,At Risk
33,12392.0,227,1,234.75000000000003,1,1,1,11,Inactive
34,12393.0,18,2,816.85,4,2,3,42,Potential Loyal Customers
35,12395.0,7,4,2048.64,5,4,4,54,Most Valuable Customers
36,12396.0,310,1,931.43,1,1,3,11,Inactive
37,12399.0,21,3,853.65,4,3,3,43,Potential Loyal Customers
38,12400.0,50,1,205.25,3,1,1,31,Need Attention
